state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,5,2.38,2.39,2.39,2.39,11.94,5,2.38,5,,,
created,*,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,55,2.10,2.21,3.22,3.57,131.18,55,2.19,50,,,
dpuinit,*,30,2.16,2.52,143.45,143.45,816.34,30,2.49,30,,,
hostinit,*,105,2.04,2.39,64.51,319.08,2210.71,105,2.38,105,,,
ready,*,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,*,5,2.39,2.39,2.40,2.40,11.96,5,2.38,5,,,
waitingforcleanup,*,10,2.23,144.68,287.12,287.12,1446.76,10,144.66,10,,,
bomvalidating,,5,2.38,2.39,2.39,2.39,11.94,0,,,,,
bomvalidating,matchingsku,0,,,,,,5,2.38,5,3.00,4.80,
created,,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,5,2.60,5,3.00,4.80,
dpudiscoveringstate,configuring+initializing,5,2.20,2.21,2.21,2.21,11.04,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,5,2.62,2.63,2.63,2.63,13.13,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,5,2.23,2.24,2.24,2.24,11.18,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,5,2.17,2.18,2.18,2.18,10.88,0,,,,,
dpudiscoveringstate,enablershim+initializing,5,2.57,2.58,2.58,2.58,12.88,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,5,2.18,2.18,2.19,2.19,10.93,0,,,,,
dpudiscoveringstate,initializing,5,3.11,3.32,3.57,3.57,16.65,30,2.20,25,3.00,4.80,
dpudiscoveringstate,initializing+rebootalldpus,5,2.15,2.16,2.16,2.16,10.79,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,5,2.10,2.10,2.10,2.10,10.50,0,,,,,
dpudiscoveringstate,rebootalldpus,5,2.12,2.12,2.13,2.13,10.60,20,2.15,20,3.00,4.80,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,5,2.52,2.52,2.53,2.53,12.62,0,,,,,
dpuinit,init,5,10.33,10.34,10.35,10.35,51.70,5,10.31,5,10.00,14.50,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,5,2.16,2.17,2.17,2.17,10.83,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,5,2.36,2.37,2.37,2.37,11.83,0,,,,,
dpuinit,waitingforplatformconfiguration,5,2.67,2.67,2.68,2.68,13.36,15,2.36,15,3.00,4.80,
dpuinit,waitingforplatformpowercycle,10,2.27,72.86,143.45,143.45,728.62,10,72.83,10,5.00,282.00,
hostinit,discovered,5,2.09,2.09,2.09,2.09,10.45,5,2.08,5,3.00,4.80,
hostinit,enableipmioverlan,5,2.15,2.16,2.16,2.16,10.79,5,2.14,5,3.00,4.80,
hostinit,machinestatemeasuring,0,,,,,,5,2.39,5,3.00,4.80,
hostinit,machinestatespdmmeasuring,0,,,,,,5,2.31,5,3.00,4.80,
hostinit,measuring,5,2.39,2.40,2.40,2.40,11.97,0,,,,,
hostinit,pollingbiossetup,5,2.07,2.08,2.08,2.08,10.39,5,2.06,5,3.00,4.80,
hostinit,setbootorder,10,2.04,2.18,2.32,2.32,21.79,10,2.15,10,3.00,4.80,
hostinit,spdmmeasuring,5,2.30,2.31,2.32,2.32,11.55,0,,,,,
hostinit,uefisetup,20,2.08,2.36,7.87,7.88,73.36,20,2.33,20,3.67,13.00,
hostinit,waitingforbiosjob,15,2.17,2.56,7.26,7.26,59.94,15,2.54,15,4.00,13.50,
hostinit,waitingfordiscovery,10,2.17,4.50,6.81,6.81,44.93,10,4.49,10,5.00,14.00,
hostinit,waitingforlockdown,20,2.54,33.54,319.08,319.08,1943.54,20,33.51,20,5.00,540.00,
hostinit,waitingforplatformconfiguration,5,2.39,2.40,2.40,2.40,11.99,5,2.38,5,3.00,4.80,
ready,,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,reboothost,0,,,,,,5,2.38,5,3.00,4.80,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""197144bb-f239-4419-b54b-1900852ead76""}}}",1,2.39,2.39,2.39,2.39,2.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""4d498403-bcc6-41eb-b737-bc60266ad865""}}}",1,2.39,2.39,2.39,2.39,2.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7f6435d0-2907-46dd-bedc-3614ec28ff9e""}}}",1,2.40,2.40,2.40,2.40,2.40,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""8c1af37b-60f2-43d7-883e-60f1508a2c60""}}}",1,2.39,2.39,2.39,2.39,2.39,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e8e77ac4-c028-4521-bda0-d0355b1ebc48""}}}",1,2.39,2.39,2.39,2.39,2.39,0,,,,,
waitingforcleanup,hostcleanup,5,287.11,287.12,287.12,287.12,1435.58,5,287.09,5,210.00,291.00,
waitingforcleanup,init,5,2.23,2.23,2.24,2.24,11.18,5,2.23,5,3.00,4.80,
