state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,5,2.50,2.52,4.61,4.61,14.70,5,2.51,5,,,
created,*,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,55,0.08,2.28,2.68,2.69,118.99,55,2.23,50,,,
dpuinit,*,30,0.09,2.33,137.69,137.69,871.70,30,2.27,30,,,
hostinit,*,105,2.04,2.57,132.32,319.46,2529.24,105,2.54,105,,,
ready,*,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,*,10,2.26,5.65,23.28,23.28,80.39,10,5.62,10,,,
waitingforcleanup,*,10,2.21,144.70,287.20,287.20,1447.01,10,144.67,10,,,
bomvalidating,,5,2.50,2.52,4.61,4.61,14.70,0,,,,,
bomvalidating,matchingsku,0,,,,,,5,2.51,5,3.00,4.80,
created,,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,5,2.23,5,3.00,4.80,
dpudiscoveringstate,configuring+initializing,5,0.08,0.09,0.10,0.10,0.44,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,5,2.26,2.27,2.27,2.27,11.33,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,5,2.68,2.68,2.69,2.69,13.41,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,5,2.38,2.38,2.38,2.38,11.91,0,,,,,
dpudiscoveringstate,enablershim+initializing,5,2.61,2.61,2.62,2.62,13.06,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,5,2.13,2.13,2.14,2.14,10.68,0,,,,,
dpudiscoveringstate,initializing,5,1.98,2.28,2.58,2.58,11.38,30,2.48,25,2.60,4.76,
dpudiscoveringstate,initializing+rebootalldpus,5,2.15,2.15,2.16,2.16,10.77,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,5,2.56,2.58,2.58,2.58,12.88,0,,,,,
dpudiscoveringstate,rebootalldpus,5,2.50,2.50,2.51,2.51,12.52,20,2.22,20,3.00,4.80,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,5,2.12,2.12,2.12,2.12,10.61,0,,,,,
dpuinit,init,5,29.69,29.69,29.71,29.71,148.47,5,29.65,5,22.50,29.25,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,5,2.21,2.21,2.21,2.21,11.05,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,5,2.20,2.20,2.21,2.21,11.02,0,,,,,
dpuinit,waitingforplatformconfiguration,5,2.44,2.45,2.46,2.46,12.25,15,2.19,15,3.00,4.80,
dpuinit,waitingforplatformpowercycle,10,0.09,68.89,137.69,137.69,688.91,10,68.85,10,1.00,282.00,
hostinit,discovered,5,7.65,7.65,7.69,7.69,38.32,5,7.64,5,10.00,14.50,
hostinit,enableipmioverlan,5,2.57,2.57,2.58,2.58,12.86,5,2.55,5,3.00,4.80,
hostinit,machinestatemeasuring,0,,,,,,5,2.59,5,3.00,4.80,
hostinit,machinestatespdmmeasuring,0,,,,,,5,2.05,5,3.00,4.80,
hostinit,measuring,5,2.58,2.59,2.60,2.60,12.96,0,,,,,
hostinit,pollingbiossetup,5,2.07,2.09,2.09,2.09,10.42,5,2.06,5,3.00,4.80,
hostinit,setbootorder,10,2.07,2.33,2.58,2.58,23.28,10,2.29,10,3.00,4.80,
hostinit,spdmmeasuring,5,2.05,2.05,2.05,2.05,10.26,0,,,,,
hostinit,uefisetup,20,2.10,2.56,26.61,29.01,117.91,20,2.53,20,3.86,22.50,
hostinit,waitingforbiosjob,15,2.04,2.06,6.72,6.73,54.14,15,2.03,15,4.00,13.50,
hostinit,waitingfordiscovery,10,2.34,4.29,34.14,34.14,98.70,10,4.29,10,5.00,52.50,
hostinit,waitingforlockdown,20,2.06,51.50,319.45,319.46,2137.22,20,51.45,20,5.00,540.00,
hostinit,waitingforplatformconfiguration,5,2.63,2.63,2.64,2.64,13.16,5,2.60,5,3.00,4.80,
ready,,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,machinevalidating,0,,,,,,5,6.62,5,13.33,28.12,
validation,reboothost,0,,,,,,5,2.22,5,3.00,4.80,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""machinevalidating"": {""id"": ""252db2ec-1b0d-4fce-9b95-07c9b6245edf"", ""total"": 1, ""context"": ""Discovery"", ""completed"": 1, ""is_enabled"": true}}}",1,23.28,23.28,23.28,23.28,23.28,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""machinevalidating"": {""id"": ""2cb72dc4-8842-48e0-90ee-675c1b994b0f"", ""total"": 1, ""context"": ""Discovery"", ""completed"": 1, ""is_enabled"": true}}}",1,21.14,21.14,21.14,21.14,21.14,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""machinevalidating"": {""id"": ""97d87083-db53-4b0b-a37c-b039257b34bf"", ""total"": 1, ""context"": ""Discovery"", ""completed"": 1, ""is_enabled"": true}}}",1,6.63,6.63,6.63,6.63,6.63,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""machinevalidating"": {""id"": ""c5a03fed-ecdc-43ba-87a3-e00d0392b12f"", ""total"": 1, ""context"": ""Discovery"", ""completed"": 1, ""is_enabled"": true}}}",1,6.65,6.65,6.65,6.65,6.65,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""machinevalidating"": {""id"": ""e62ec92f-71ca-4c33-ace8-ec94a9a1a164"", ""total"": 1, ""context"": ""Discovery"", ""completed"": 1, ""is_enabled"": true}}}",1,6.63,6.63,6.63,6.63,6.63,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""252db2ec-1b0d-4fce-9b95-07c9b6245edf""}}}",1,4.60,4.60,4.60,4.60,4.60,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""2cb72dc4-8842-48e0-90ee-675c1b994b0f""}}}",1,4.67,4.67,4.67,4.67,4.67,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""97d87083-db53-4b0b-a37c-b039257b34bf""}}}",1,2.26,2.26,2.26,2.26,2.26,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""c5a03fed-ecdc-43ba-87a3-e00d0392b12f""}}}",1,2.26,2.26,2.26,2.26,2.26,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e62ec92f-71ca-4c33-ace8-ec94a9a1a164""}}}",1,2.26,2.26,2.26,2.26,2.26,0,,,,,
waitingforcleanup,hostcleanup,5,287.18,287.18,287.20,287.20,1435.93,5,287.14,5,210.00,291.00,
waitingforcleanup,init,5,2.21,2.22,2.22,2.22,11.08,5,2.19,5,3.00,4.80,
