state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,25,1.96,2.37,5.02,5.03,62.51,25,2.36,25,,,
created,*,25,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,275,1.77,5.15,7.50,7.79,1543.96,275,5.13,250,,,
dpuinit,*,150,2.03,4.90,144.07,144.08,4464.80,150,4.87,150,,,
hostinit,*,525,0.04,4.41,138.81,334.20,12718.00,525,4.39,525,,,
ready,*,0,,,,,,0,,25,,,SQL_OPEN(25)
validation,*,25,2.04,2.21,2.52,2.52,56.46,25,2.20,25,,,
waitingforcleanup,*,50,2.00,137.71,313.91,323.09,7164.26,50,137.69,50,,,
bomvalidating,,25,1.96,2.37,5.02,5.03,62.51,0,,,,,
bomvalidating,matchingsku,0,,,,,,25,2.36,25,3.17,8.75,
created,,25,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,25,4.81,25,4.85,13.96,
dpudiscoveringstate,configuring+initializing,25,2.25,4.62,6.99,7.00,117.36,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,25,4.21,4.83,7.39,7.39,145.01,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,25,4.59,5.24,7.60,7.60,145.41,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,25,4.29,6.75,7.50,7.50,152.06,0,,,,,
dpudiscoveringstate,enablershim+initializing,25,4.58,6.85,7.44,7.44,147.92,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,25,4.21,5.11,7.24,7.50,142.69,0,,,,,
dpudiscoveringstate,initializing,25,1.77,4.69,7.56,7.79,112.26,150,5.13,125,5.13,14.01,
dpudiscoveringstate,initializing+rebootalldpus,25,4.22,5.24,7.59,7.61,150.29,0,,,,,
