state,substate,n_sql,dwell_min_s,dwell_p50_s,dwell_p95_s,dwell_max_s,dwell_sum_s,n_loki,loki_p50_s,prom_entered,prom_p50_s,prom_p95_s,flags
bomvalidating,*,5,2.10,2.10,2.10,2.10,10.50,5,2.09,5,,,
created,*,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,*,55,1.44,2.35,2.63,2.64,126.26,55,2.32,50,,,
dpuinit,*,30,0.07,2.40,142.87,142.87,820.04,30,2.38,30,,,
hostinit,*,105,0.06,2.25,106.73,310.97,2362.82,105,2.23,105,,,
ready,*,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,*,5,2.01,2.01,2.01,2.01,10.06,5,2.00,5,,,
waitingforcleanup,*,10,2.41,144.48,286.56,286.56,1444.84,10,144.46,10,,,
bomvalidating,,5,2.10,2.10,2.10,2.10,10.50,0,,,,,
bomvalidating,matchingsku,0,,,,,,5,2.09,5,3.00,4.80,
created,,5,0.00,0.00,0.00,0.00,0.00,0,,,,,
dpudiscoveringstate,configuring,0,,,,,,5,2.33,5,3.00,4.80,
dpudiscoveringstate,configuring+initializing,5,2.19,2.20,2.20,2.20,10.99,0,,,,,
dpudiscoveringstate,configuring+rebootalldpus,5,2.35,2.35,2.36,2.36,11.77,0,,,,,
dpudiscoveringstate,disablesecureboot+initializing,5,2.62,2.63,2.64,2.64,13.15,0,,,,,
dpudiscoveringstate,disablesecureboot+rebootalldpus,5,2.50,2.50,2.51,2.51,12.52,0,,,,,
dpudiscoveringstate,enablershim+initializing,5,2.15,2.15,2.15,2.15,10.75,0,,,,,
dpudiscoveringstate,enablershim+rebootalldpus,5,2.24,2.25,2.25,2.25,11.22,0,,,,,
dpudiscoveringstate,initializing,5,1.44,1.67,1.94,1.94,8.41,30,2.22,25,3.00,4.80,
dpudiscoveringstate,initializing+rebootalldpus,5,2.29,2.35,2.35,2.35,11.62,0,,,,,
dpudiscoveringstate,initializing+setuefihttpboot,5,2.53,2.54,2.59,2.59,12.78,0,,,,,
dpudiscoveringstate,rebootalldpus,5,2.40,2.40,2.40,2.40,11.99,20,2.30,20,3.00,4.80,
dpudiscoveringstate,rebootalldpus+setuefihttpboot,5,2.21,2.21,2.21,2.21,11.03,0,,,,,
dpuinit,init,5,13.93,13.93,13.93,13.93,69.66,5,13.90,5,10.00,14.50,
dpuinit,pollingbiossetup+waitingforplatformconfiguration,5,2.23,2.24,2.34,2.34,11.28,0,,,,,
dpuinit,waitingfornetworkconfig+waitingforplatformconfiguration,5,2.39,2.49,2.50,2.50,12.36,0,,,,,
dpuinit,waitingforplatformconfiguration,5,0.07,0.08,0.08,0.08,0.40,15,2.21,15,2.00,4.70,
dpuinit,waitingforplatformpowercycle,10,2.40,72.64,142.87,142.87,726.34,10,72.60,10,5.00,282.00,
hostinit,discovered,5,2.15,2.16,2.16,2.16,10.78,5,2.14,5,3.00,4.80,
hostinit,enableipmioverlan,5,2.44,2.44,2.45,2.45,12.21,5,2.42,5,3.00,4.80,
hostinit,machinestatemeasuring,0,,,,,,5,2.20,5,3.00,4.80,
hostinit,machinestatespdmmeasuring,0,,,,,,5,2.22,5,3.00,4.80,
hostinit,measuring,5,2.20,2.20,2.21,2.21,11.02,0,,,,,
hostinit,pollingbiossetup,5,2.13,2.13,2.13,2.13,10.67,5,2.11,5,3.00,4.80,
hostinit,setbootorder,10,2.13,2.36,2.59,2.59,23.64,10,2.34,10,3.00,4.80,
hostinit,spdmmeasuring,5,2.23,2.23,2.23,2.23,11.13,0,,,,,
hostinit,uefisetup,20,2.11,2.23,7.17,7.18,68.69,20,2.21,20,3.67,13.00,
hostinit,waitingforbiosjob,15,2.15,2.44,6.77,6.77,56.81,15,2.41,15,4.00,13.50,
hostinit,waitingfordiscovery,10,2.24,4.53,6.83,6.83,45.29,10,4.52,10,5.00,14.00,
hostinit,waitingforlockdown,20,0.06,54.49,310.97,310.97,2100.06,20,54.47,20,5.00,540.00,
hostinit,waitingforplatformconfiguration,5,2.50,2.50,2.50,2.50,12.51,5,2.48,5,3.00,4.80,
ready,,0,,,,,,0,,5,,,SQL_OPEN(5)
validation,reboothost,0,,,,,,5,2.00,5,3.00,4.80,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""62ee9a65-0c8d-4bf7-a059-2c75e02b86fe""}}}",1,2.01,2.01,2.01,2.01,2.01,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""7e75f5b7-9824-40ab-933b-5493704e09ca""}}}",1,2.01,2.01,2.01,2.01,2.01,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""ad61322a-deee-419a-a324-cb55120f1e3b""}}}",1,2.01,2.01,2.01,2.01,2.01,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""cf7cf1d4-ca2e-4d72-87a8-f69488a05679""}}}",1,2.01,2.01,2.01,2.01,2.01,0,,,,,
validation,"{""validation_type"": ""machinevalidation"", ""machine_validation"": {""reboothost"": {""validation_id"": ""e3302a1e-7a78-4129-8b0a-24e7d8f0599a""}}}",1,2.01,2.01,2.01,2.01,2.01,0,,,,,
waitingforcleanup,hostcleanup,5,286.55,286.56,286.56,286.56,1432.78,5,286.53,5,210.00,291.00,
waitingforcleanup,init,5,2.41,2.41,2.41,2.41,12.05,5,2.40,5,3.00,4.80,
